dataset,policy,adapter_mode,seed,device,initial_cases,retained_cases,target_capacity,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,total_flips,correct_flips,harmful_flips,net_flip_benefit,adapter_train_loss
iris,provenance_bias_coverage,nominal_residual_scores,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9555555582046509,0.04444444179534912,2,2,0,2,0.5314502120018005
iris,provenance_bias_coverage,nominal_residual_scores,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.5954242944717407
iris,provenance_bias_coverage,logit_residual,42,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.6568720936775208
iris,provenance_bias_coverage,logit_residual,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9555555582046509,0.04444444179534912,2,2,0,2,0.6810310482978821
iris,provenance_bias_coverage,logit_residual,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.7044343948364258
iris,bias_only,none,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.0
iris,bias_only,none,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.9333333373069763,0.0,0,0,0,0,0.0
iris,bias_only,none,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9333333373069763,0.0,0,0,0,0,0.0
iris,bias_only,nominal_residual_scores,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.9111111164093018,0.02222222089767456,1,1,0,1,0.4853903651237488
iris,bias_only,nominal_residual_scores,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.9777777791023254,0.04444444179534912,2,2,0,2,0.5659366846084595
iris,bias_only,nominal_residual_scores,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.6083213686943054
iris,bias_only,logit_residual,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.9111111164093018,0.02222222089767456,1,1,0,1,0.6576585173606873
iris,bias_only,logit_residual,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.9777777791023254,0.04444444179534912,2,2,0,2,0.7068222761154175
iris,bias_only,logit_residual,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.7137436866760254
iris,provenance_only,none,42,cpu,105,52,52,0.9555555582046509,0.8666666746139526,0.8666666746139526,0.0,0,0,0,0,0.0
iris,provenance_only,none,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.9333333373069763,0.0,0,0,0,0,0.0
iris,provenance_only,none,44,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.0
iris,provenance_only,nominal_residual_scores,42,cpu,105,52,52,0.9555555582046509,0.8666666746139526,0.8888888955116272,0.02222222089767456,1,1,0,1,0.4487188160419464
iris,provenance_only,nominal_residual_scores,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.8888888955116272,-0.04444444179534912,2,0,2,-2,0.43444469571113586
iris,provenance_only,nominal_residual_scores,44,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9333333373069763,0.02222222089767456,1,1,0,1,0.4731559157371521
iris,provenance_only,logit_residual,42,cpu,105,52,52,0.9555555582046509,0.8666666746139526,0.8666666746139526,0.0,0,0,0,0,0.5899364352226257
iris,provenance_only,logit_residual,43,cpu,105,52,52,0.9777777791023254,0.9333333373069763,0.9111111164093018,-0.02222222089767456,1,0,1,-1,0.574068009853363
iris,provenance_only,logit_residual,44,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9111111164093018,0.0,2,1,1,0,0.5858176946640015
iris,trustworthiness_only,none,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.0
iris,trustworthiness_only,none,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.0
iris,trustworthiness_only,none,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9333333373069763,0.0,0,0,0,0,0.0
iris,trustworthiness_only,nominal_residual_scores,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.9111111164093018,0.02222222089767456,1,1,0,1,0.4826803505420685
iris,trustworthiness_only,nominal_residual_scores,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9555555582046509,0.04444444179534912,2,2,0,2,0.543817937374115
iris,trustworthiness_only,nominal_residual_scores,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.5781533718109131
iris,trustworthiness_only,logit_residual,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.9111111164093018,0.02222222089767456,1,1,0,1,0.656727135181427
iris,trustworthiness_only,logit_residual,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9555555582046509,0.04444444179534912,2,2,0,2,0.6887323260307312
iris,trustworthiness_only,logit_residual,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9555555582046509,0.02222222089767456,1,1,0,1,0.6925182342529297
iris,stratified,none,42,cpu,105,52,52,0.9555555582046509,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.0
