dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
breast_cancer,bias_only,none,45,0.2,398,79,0.9707602262496948,0.9473684430122375,0.9473684430122375,0.0,0.9420055017522704,0.9420055017522704,0.0,0.04413953022650112,0.04413953022650112,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,46,0.2,398,79,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9561618751144478,0.9561618751144478,0.0,0.04266079685144256,0.04266079685144256,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,42,0.2,398,79,0.9707602262496948,0.9415204524993896,0.9415204524993896,0.0,0.9358108108108107,0.9358108108108107,0.0,0.0487061031380592,0.0487061031380592,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,43,0.2,398,79,0.9473684430122375,0.9239766001701355,0.9239766001701355,0.0,0.9155555555555555,0.9155555555555555,0.0,0.026079779828500974,0.026079779828500974,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,44,0.2,398,79,0.9766082167625427,0.9649122953414917,0.9649122953414917,0.0,0.9623015873015872,0.9623015873015872,0.0,0.032175711023877236,0.032175711023877236,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,45,0.2,398,79,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9552372760928911,0.9552372760928911,0.0,0.0380659322989614,0.0380659322989614,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,46,0.2,398,79,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9690676893021237,0.9690676893021237,0.0,0.0491121282354433,0.0491121282354433,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,42,0.33,398,131,0.9707602262496948,0.9473684430122375,0.9473684430122375,0.0,0.9420055017522704,0.9420055017522704,0.0,0.009618670968284419,0.009618670968284419,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,0.33,398,131,0.9473684430122375,0.9415204524993896,0.9415204524993896,0.0,0.9353056900726393,0.9353056900726393,0.0,0.04220346749177454,0.04220346749177454,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,0.33,398,131,0.9766082167625427,0.9473684430122375,0.9473684430122375,0.0,0.9446343130553656,0.9446343130553656,0.0,0.03218215146259955,0.03218215146259955,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,0.33,398,131,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.9617734724292102,0.9617734724292102,0.0,0.033290065171425805,0.033290065171425805,0,0,0,0,0.5,1.0,geometric,True,0.0
